Predictor variable,Categorical,Sample average
wc2.1_10m_bio_1,false,6.080010813040038
wc2.1_10m_bio_10,false,11.474798997243246
wc2.1_10m_bio_11,false,0.7252947290738424
wc2.1_10m_bio_12,false,427.7708333333333
wc2.1_10m_bio_13,false,76.90625
wc2.1_10m_bio_14,false,10.53125
wc2.1_10m_bio_15,false,67.12147720654805
wc2.1_10m_bio_16,false,208.29166666666666
wc2.1_10m_bio_17,false,38.5
wc2.1_10m_bio_18,false,40.53125
wc2.1_10m_bio_19,false,198.67708333333334
wc2.1_10m_bio_2,false,12.237151304880777
wc2.1_10m_bio_3,false,52.04024044672648
wc2.1_10m_bio_4,false,437.29809443155926
wc2.1_10m_bio_5,false,19.09918467203776
wc2.1_10m_bio_6,false,-4.516880199313164
wc2.1_10m_bio_7,false,23.61606494585673
wc2.1_10m_bio_8,false,1.4457947031284373
wc2.1_10m_bio_9,false,10.62527385354042
